Organization Name,Description,Organization Name URL,Mega theme,Focus Area,Headquarters Location,Estimated Revenue Range,Founded Year,Industries,Number of Employees,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),Top 5 Investors,IPqwery - Patents Granted,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity
Shopify,"Shopify is a cloud-based, multi-channel commerce platform designed for small and medium-sized businesses.",https://www.crunchbase.com/organization/shopify,#REF!,,"Ottawa, Ontario, Canada",$1B to $10B,2004,"E-Commerce, E-Commerce Platforms, Enterprise Software, SaaS",5001-10000,IPO,11/12/2013,100000000,Series C,122250000,"Felicis Ventures, Insight Partners, Bessemer Venture Partners, OMERS Ventures, FirstMark",60,1,1,1,1,Mature
Revolut,"Revolut is a financial services company that specializes in mobile banking, card payments, money remittance, and foreign exchange.",https://www.crunchbase.com/organization/revolut,#REF!,,"London, England, United Kingdom",$100M to $500M,2015,"Banking, Customer Service, Financial Services, FinTech, Mobile Payments",1001-5000,Late Stage Venture,15/07/2021,800000000,Series E,1705469790,"SoftBank Vision Fund, Draper Esprit, Seedrs, Ribbit Capital, Tiger Global Management",0,0.5,1,1,0.85,Mature
Square,Square is a merchant services aggregator and mobile payment company that aims to simplify commerce through technology.,https://www.crunchbase.com/organization/square,#REF!,,"San Francisco, California, United States",$1B to $10B,2009,"FinTech, Hardware, Mobile Payments, Payments",1001-5000,IPO,05/05/2021,10666807,Post-IPO Equity,601166807,"Goldman Sachs, GGV Capital, Sequoia Capital, Kleiner Perkins, GIC",835,1,0.66,1,0.83,Mature
Flutterwave,Flutterwave is a fintech company that provides a payment infrastructure for global merchants and payment service providers.,https://www.crunchbase.com/organization/flutterwave,#REF!,,"San Francisco, California, United States",$10M to $50M,2016,"Financial Services, FinTech, Payments",251-500,Late Stage Venture,09/03/2021,170000000,Series C,234743837,"Salesforce Ventures, Visa, Mastercard, Flourish Ventures, Tiger Global Management",,0.5,1,1,0.85,Mature
Carta,"Carta is building a global ownership management platform to help companies, investors, and employees manage their equity.",https://www.crunchbase.com/organization/eshares,#REF!,,"San Francisco, California, United States",$10M to $50M,2012,"Finance, FinTech, Software, Stock Exchanges",501-1000,,23/06/2021,,Venture - Series Unknown,627800000,"Alumni Ventures Group, Spark Capital, Thrive Capital, Andreessen Horowitz, Union Square Ventures",2,0.5,0.66,1,0.68,Mature
SoFi,SoFi is a finance company that offers a range of lending and wealth management services.,https://www.crunchbase.com/organization/social-finance,#REF!,,"San Francisco, California, United States",$100M to $500M,2011,"Financial Services, FinTech, Life Insurance, Wealth Management",1001-5000,IPO,07/01/2021,369840376,Venture - Series Unknown,2975062287,"SoftBank, Silver Lake, GGV Capital, QED Investors, Morgan Stanley",0,1,0.66,1,0.83,Mature
Automation Anywhere,"Automation Anywhere is an enterprise-grade, cognitive Robotic Process Automation (RPA) platform.",https://www.crunchbase.com/organization/automation-anywhere,#REF!,,"San Jose, California, United States",$100M to $500M,2003,"Artificial Intelligence, Enterprise Software, Machine Learning, SaaS, Software",1001-5000,,13/07/2021,5000000,Venture - Series Unknown,845000000,"Goldman Sachs, SoftBank Vision Fund, General Atlantic, Salesforce Ventures, New Enterprise Associates",22,1,0.66,1,0.83,Mature
Tide,Tide is a business banking platform with a mission to save small businesses time and money on their banking and admin.,https://www.crunchbase.com/organization/tide-2,#REF!,,"London, England, United Kingdom",$1M to $10M,2015,"Banking, Credit, Financial Services, FinTech, Mobile Apps",251-500,Late Stage Venture,12/07/2021,100000000,Series C,195236961,"Augmentum Fintech, LocalGlobe, Goodwater Capital, Speedinvest, Anthemis Group",0,0.5,1,1,0.85,Mature
DataRobot,DataRobot brings AI technology and ROI enablement services to global enterprises.,https://www.crunchbase.com/organization/datarobot,#REF!,,"Boston, Massachusetts, United States",$100M to $500M,2012,"Artificial Intelligence, Enterprise Software, Machine Learning, SaaS",1001-5000,Late Stage Venture,29/06/2021,250000000,Series G,1000598000,"Silver Lake, BlackRock, Techstars, Intel Capital, Salesforce Ventures",37,0.5,1,1,0.85,Mature
Grab,"Grab is an application that provides transportation, logistics, and financial services.",https://www.crunchbase.com/organization/grabtaxi,#REF!,,"Singapore, Central Region, Singapore",$1B to $10B,2012,"Car Sharing, Financial Services, Food Delivery, Ride Sharing, Transportation",10001+,,16/02/2021,,Venture - Series Unknown,12147750000,"SoftBank, SoftBank Vision Fund, Didi, GGV Capital, Invesco",24,0.5,0.66,1,0.68,Mature
Tink,Tink is a cloud-based platform providing infrastructure and data products to enable the future of financial services.,https://www.crunchbase.com/organization/tink,#REF!,,"Stockholm, Stockholms Lan, Sweden",$10M to $50M,2012,"Banking, Financial Services, FinTech",251-500,M&A,11/12/2020,102947695,Venture - Series Unknown,308432162,"Eurazeo, Insight Partners, PayPal, Dawn Capital, PayPal Ventures",0,0.5,0.66,1,0.68,Mature
Quantexa,Quantexa develops network analytics tools for the detection and prevention of financial crime.,https://www.crunchbase.com/organization/quantexa,#REF!,,"London, England, United Kingdom",$10M to $50M,2016,"Analytics, Artificial Intelligence, Big Data, Compliance",251-500,Late Stage Venture,13/07/2021,153000000,Series D,241000000,"Accenture, HSBC, Dawn Capital, Warburg Pincus, Plug and Play Insurtech",0,0.5,1,1,0.85,Mature
Coinbase Ventures,Coinbase Ventures is an investment arm of Coinbase that aims to invest in early-stage cryptocurrency and blockchain startups.,https://www.crunchbase.com/organization/coinbase-ventures,#REF!,,"San Francisco, California, United States",,2018,"Blockchain, Cryptocurrency, Finance, Financial Services",,,,,,,,,0.5,0.33,0,0.315,Nascent
Railsbank,Railsbank is an open banking API and platform that gives regulated and un-regulated companies access to global banking.,https://www.crunchbase.com/organization/railsbank,#REF!,,"London, England, United Kingdom",$1M to $10M,2016,"Banking, Developer APIs, Finance, Financial Services, FinTech, Payments, Software",251-500,Early Stage Venture,14/07/2021,69904514,Series B,121256423,"Visa, Anthos Capital, Singlife, Kima Ventures, Global Brain Corporation",0,0.5,1,1,0.85,Mature
ConsenSys,"ConsenSys develops enterprise applications, invests in startups, builds developer tools, and offers blockchain education.",https://www.crunchbase.com/organization/consensus-systems,#REF!,,"Zug, Zug, Switzerland",$10M to $50M,2014,"Cryptocurrency, Mobile, Software",501-1000,,13/04/2021,65000000,Convertible Note,75000000,"BlackRock, Mastercard, Protocol Labs, Fenbushi Capital, JP Morgan Chase",0,0.5,0.66,1,0.68,Mature
Marqeta,Marqeta is a modern card issuing platform that provides infrastructure and tools to help companies build and manage payment programs.,https://www.crunchbase.com/organization/marqeta,#REF!,,"Oakland, California, United States",$100M to $500M,2010,"FinTech, Payments, Transaction Processing",501-1000,IPO,05/02/2021,,Secondary Market,528000000,"Goldman Sachs, Spark Capital, Visa, Mastercard, ICONIQ Capital",5,1,0.66,1,0.83,Mature
Marco,Marco provides a tech-enabled financing platform designed for small and medium-sized businesses.,https://www.crunchbase.com/organization/marco-capital,#REF!,,"Miami, Florida, United States",,2019,"Commercial Lending, Financial Services, FinTech, Trading Platform",,Seed,13/07/2021,75000000,Debt Financing,108000000,"342 Capital, Flexport Ventures, Phil Bentley, Antler, Village Global",,0.5,0.66,0,0.48,Emerging
Stripe,Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.,https://www.crunchbase.com/organization/stripe,#REF!,,"San Francisco, California, United States",$500M to $1B,2010,"Finance, FinTech, Mobile Payments, SaaS",1001-5000,Late Stage Venture,14/07/2021,,Secondary Market,2236000000,"General Catalyst, Y Combinator, Thrive Capital, Google, FJ Labs",40,1,0.66,1,0.83,Mature
Finix Payments,Finix Payments is a fintech company that develops a payment processing platform for businesses.,https://www.crunchbase.com/organization/finix-payments,#REF!,,"San Francisco, California, United States",$10M to $50M,2015,"Finance, Financial Services, FinTech, Payments",101-250,Early Stage Venture,23/12/2020,,Series B,96000000,"Sequoia Capital, Bain Capital Ventures, Visa, Precursor Ventures, Insight Partners",0,0.5,1,1,0.85,Mature
Chainalysis,"Chainalysis provides blockchain data and analysis to governments, banks, and businesses worldwide.",https://www.crunchbase.com/organization/chainalysis,#REF!,,"New York, New York, United States",$10M to $50M,2014,"Blockchain, Cryptocurrency, FinTech, Software",251-500,Late Stage Venture,24/06/2021,100000000,Series E,366600000,"Techstars, FundersClub, Digital Currency Group, Ribbit Capital, GIC",0,0.5,1,1,0.85,Mature
Tesla,Tesla Motors specializes in developing a full range of electric vehicles.,https://www.crunchbase.com/organization/tesla-motors,#REF!,,"Palo Alto, California, United States",$100M to $500M,2003,"Automotive, Autonomous Vehicles, Electric Vehicle, Electronics",10001+,IPO,09/05/2020,565000000,Post-IPO Debt,20180184761,"Citi, Tencent, Goldman Sachs, Craft Ventures, Google","1,076",1,0.66,1,0.83,Mature
eToro,"eToro is a social trading and investment marketplace that allows users to trade currencies, commodities, indices, and stocks.",https://www.crunchbase.com/organization/etoro,#REF!,,"Tel Aviv, Tel Aviv, Israel",$50M to $100M,2007,"Finance, FinTech, Marketplace, Trading Platform",501-1000,,10/02/2021,,Venture - Series Unknown,272700000,"Digital Currency Group, Spark Capital, Anthemis Group, Ping An, Social Leverage",10,1,0.66,1,0.83,Mature
Lunar,Lunar is a digital bank that offers a mobile-based banking app that helps consumers manage their personal finances.,https://www.crunchbase.com/organization/lunar-bank,#REF!,,"Aarhus, Midtjylland, Denmark",,2015,"Banking, Credit Cards, Debit Cards, Financial Services, FinTech",251-500,Late Stage Venture,12/07/2021,249079296,Series D,371201439,"Tencent, Greyhound Capital, Kinnevik AB, Alan Howard, Seed Capital",0,0.5,1,1,0.85,Mature
Starling Bank,"Starling Bank is a mobile banking platform that offers personal, joint, and business accounts.",https://www.crunchbase.com/organization/starling-3,#REF!,,"London, England, United Kingdom",$100M to $500M,2014,"Banking, Financial Services, FinTech",501-1000,Late Stage Venture,19/04/2021,69958542,Series D,922023935,"Goldman Sachs, Fidelity Management and Research Company, Chrysalis Investments, Millennium Management, Qatar Investment Authority",0,0.5,1,1,0.85,Mature
Stash,"Stash is a personal finance app that combines banking, investing, and advice into one platform.",https://www.crunchbase.com/organization/stash-5,#REF!,,"New York, New York, United States",$50M to $100M,2015,"Banking, Financial Services, FinTech, Mobile Apps, Personal Finance",251-500,Late Stage Venture,03/02/2021,125000000,Series G,427372000,"T. Rowe Price, Goodwater Capital, Entrée Capital, Union Square Ventures, Greenspring Associates",1,0.5,1,1,0.85,Mature
iCapital Network,"iCapital Network is an online platform that unlatches the world of private equity, enabling institutions, and qualified investors.",https://www.crunchbase.com/organization/icapital-network,#REF!,,"New York, New York, United States",$50M to $100M,2013,"Asset Management, Banking, Financial Services, FinTech",251-500,Early Stage Venture,17/06/2020,16000000,Series B,239210871,"Goldman Sachs, BlackRock, The Carlyle Group, Credit Suisse, Blackstone Group",,0.5,1,1,0.85,Mature
Betterment,"Betterment is a goal-based online investment company, delivering personalized financial advice paired with low fees and customer experience.",https://www.crunchbase.com/organization/betterment,#REF!,,"New York, New York, United States",$50M to $100M,2008,"Finance, Financial Services, FinTech, Impact Investing, Internet",101-250,,30/04/2021,,Venture - Series Unknown,275000000,"Francisco Partners, Menlo Ventures, Citi Ventures, Anthemis Group, Bessemer Venture Partners",0,1,0.66,1,0.83,Mature
Curve,Curve is a banking platform that consolidates cards and accounts into one smart card and app.,https://www.crunchbase.com/organization/curve,#REF!,,"London, England, United Kingdom",$1M to $10M,2015,"Apps, Banking, Financial Services, FinTech, Payments",251-500,,25/05/2021,13274108,Equity Crowdfunding,182528652,"Crowdcube, Taavet Hinrikus, Cathay Innovation, Speedinvest, Seedcamp",0,0.5,0.66,1,0.68,Mature
Acorns,Acorns is a finance company that allows individuals to round up purchases and automatically invest the change.,https://www.crunchbase.com/organization/acorns-grow,#REF!,,"Irvine, California, United States",$10M to $50M,2012,"Finance, Financial Services, FinTech, Wealth Management",251-500,IPO,15/05/2021,,Secondary Market,206960000,"BlackRock, Bain Capital Ventures, Rakuten, TPG, Nyca Partners",12,0.5,0.66,1,0.68,Mature
